item,calories(g),protein(g),carbs(g),fat(g),tip
apple,52,0.3,14,0.2,Rich in antioxidants and dietary fiber.
banana,96,1.3,27,0.3,Great source of energy and potassium.
beetroot,43,1.6,10,0.2,Improves blood flow and endurance.
bell pepper,31,1,6,0.3,High in vitamin C and antioxidants.
cabbage,25,1.3,6,0.1,Supports digestion and heart health.
capsicum,40,1.2,9,0.4,Rich in vitamins A and C.
carrot,41,0.9,10,0.2,Boosts eye health and immunity.
cauliflower,25,2,5,0.3,"Low in calories, high in fiber."
chilli pepper,40,2,9,0.4,Boosts metabolism and adds spice.
corn,86,3.2,19,1.2,Good source of carbohydrates and fiber.
cucumber,15,0.7,3.6,0.1,Hydrating and refreshing snack.
eggplant,25,1,6,0.2,Rich in antioxidants and low in calories.
garlic,149,6.4,33,0.5,Enhances immunity and reduces blood pressure.
ginger,80,1.8,18,0.8,Aids digestion and reduces inflammation.
grapes,69,0.7,18,0.2,Rich in vitamins and antioxidants.
jalapeno,29,0.9,6.5,0.4,Boosts metabolism and adds flavor.
kiwi,61,1.1,15,0.5,Supports immune function and digestion.
lemon,29,1.1,9,0.3,Rich in vitamin C and aids detoxification.
lettuce,15,1.4,2.9,0.2,Low-calorie leafy green with fiber.
mango,60,0.8,15,0.4,High in vitamin A and sweet flavor.
onion,40,1.1,9,0.1,Improves heart health and flavor.
orange,47,0.9,12,0.1,Boosts immunity and hydrates.
paprika,282,14,54,13,Rich in vitamins and enhances flavor.
pear,57,0.4,15,0.1,Good for digestion and hydration.
peas,81,5.4,14,0.4,High in protein and fiber.
pineapple,50,0.5,13,0.1,Aids digestion and boosts immunity.
pomegranate,83,1.7,19,1.2,Rich in antioxidants and vitamins.
potato,77,2,17,0.1,Good source of energy and potassium.
radish,16,0.7,3.4,0.1,Detoxifies and aids digestion.
soya beans,446,36.5,30,20,Excellent source of plant-based protein.
spinach,23,2.9,3.6,0.4,Rich in iron and vitamins.
sweet corn,86,3.2,19,1.2,Good source of carbohydrates and fiber.
sweet potato,86,1.6,20,0.1,Rich in beta-carotene and energy.
tomato,18,0.9,3.9,0.2,Contains lycopene and supports skin health.
turnip,28,0.9,6.4,0.1,Low in calories and good for digestion.
watermelon,30,0.6,8,0.2,Hydrating and rich in antioxidants.
